WESD,GHI,PRCP,SNWD,TAVG,DISCHRG_LAG,DISCHRG
5.1,147.96,0.0,25.0,3.4,2.28,2.28
2.5,127.92,0.0,25.0,8.8,2.28,2.05
0.0,95.96,0.0,0.0,10.5,2.05,1.9
0.0,97.21,0.0,0.0,2.3,1.9,1.8
5.1,77.42,12.7,51.0,1.4,1.8,1.92
104.1,15.54,61.0,406.0,0.0,1.92,2.35
104.1,57.21,20.3,356.0,0.2,2.35,7.39
104.1,28.58,22.9,356.0,2.6,7.39,10.63
73.7,83.08,0.0,203.0,5.5,10.63,6.05
71.1,147.04,0.0,178.0,1.7,6.05,7.2
66.0,136.12,0.0,178.0,7.0,7.2,6.75
55.9,135.04,0.0,127.0,8.1,6.75,4.78
58.4,57.0,0.0,127.0,-1.6,4.78,4.06
53.3,146.79,0.0,127.0,-2.6,4.06,3.87
53.3,55.58,5.1,152.0,-3.7,3.87,3.7
53.3,147.5,0.0,152.0,-8.9,3.7,3.6
55.9,138.0,0.0,152.0,-1.6,3.6,4.22
55.9,99.96,0.0,152.0,0.4,4.22,4.93
55.9,134.79,0.0,152.0,1.9,4.93,4.91
55.9,123.17,0.0,152.0,5.6,4.91,4.69
50.8,99.46,0.0,152.0,5.3,4.69,4.27
50.8,106.21,0.0,152.0,6.9,4.27,4.06
50.8,125.71,0.0,127.0,8.4,4.06,3.64
58.4,123.12,0.0,127.0,3.4,3.64,3.44
61.0,97.42,0.0,152.0,6.1,3.44,3.34
53.3,92.71,0.0,152.0,9.5,3.34,3.26
43.2,74.29,0.0,102.0,8.0,3.26,3.41
35.6,44.21,0.0,102.0,3.5,3.41,3.49
38.1,95.38,0.0,102.0,2.4,3.49,3.45
33.0,25.08,7.6,76.0,3.8,3.45,3.53
30.5,67.38,0.0,51.0,3.5,3.53,3.46
27.9,74.25,0.0,51.0,5.8,3.46,3.44
20.3,25.08,10.2,51.0,4.6,3.44,3.29
15.2,80.0,0.0,51.0,2.4,3.29,3.42
2.5,24.79,7.6,25.0,6.7,3.42,3.81
0.0,51.71,0.0,0.0,6.2,3.81,3.77
5.1,32.67,12.7,51.0,1.0,3.77,4.01
5.1,35.67,0.0,51.0,-0.7,4.01,4.66
5.1,59.17,0.0,51.0,0.8,4.66,5.37
5.1,98.54,0.0,25.0,1.8,5.37,5.41
5.1,81.58,2.5,0.0,3.5,5.41,5.23
5.1,45.0,0.0,0.0,0.2,5.23,5.27
15.2,17.67,5.1,102.0,-3.6,5.27,5.47
17.8,75.62,0.0,127.0,-6.2,5.47,5.93
22.9,30.25,2.5,102.0,-5.1,5.93,6.41
22.9,39.67,0.0,102.0,-5.6,6.41,7.08
22.9,38.04,0.0,152.0,-9.0,7.08,6.9
22.9,91.42,0.0,127.0,-8.2,6.9,6.61
25.4,45.38,5.1,152.0,-3.3,6.61,6.61
25.4,85.62,0.0,152.0,-0.9,6.61,7.25
25.4,66.04,0.0,152.0,0.5,7.25,7.23
25.4,66.92,0.0,152.0,1.1,7.23,7.1
25.4,57.62,0.0,102.0,1.2,7.1,6.76
25.4,40.54,0.0,102.0,0.9,6.76,6.66
33.0,45.38,7.6,203.0,1.4,6.66,6.84
38.1,40.92,2.5,203.0,-0.7,6.84,6.98
38.1,73.04,0.0,203.0,-1.3,6.98,7.17
35.6,73.17,0.0,178.0,0.4,7.17,7.28
43.2,34.83,7.6,229.0,-0.2,7.28,7.21
73.7,37.88,25.4,381.0,0.3,7.21,7.75
73.7,49.71,2.5,432.0,-1.9,7.75,9.0
73.7,16.38,0.0,432.0,-3.2,9.0,9.99
83.8,12.75,7.6,457.0,-4.6,9.99,9.98
83.8,82.17,0.0,406.0,-5.9,9.98,9.85
83.8,68.79,0.0,406.0,-4.4,9.85,9.69
83.8,53.88,0.0,406.0,-3.2,9.69,9.37
104.1,34.54,22.9,559.0,-1.1,9.37,9.39
104.1,24.17,2.5,533.0,2.9,9.39,9.79
104.1,20.08,0.0,508.0,4.0,9.79,9.73
104.1,45.17,0.0,508.0,4.1,9.73,10.03
106.7,37.75,0.0,483.0,-1.1,10.03,10.38
106.7,48.38,0.0,508.0,-4.3,10.38,10.33
106.7,60.88,0.0,483.0,-4.8,10.33,9.96
106.7,68.83,0.0,457.0,-6.6,9.96,9.63
109.2,20.04,0.0,508.0,-4.6,9.63,9.2
109.2,46.54,0.0,508.0,-2.9,9.2,8.88
109.2,44.62,0.0,483.0,0.0,8.88,8.69
109.2,45.08,0.0,483.0,-1.4,8.69,8.49
121.9,14.5,15.2,533.0,1.1,8.49,8.37
124.5,15.26,0.0,483.0,0.6,8.37,8.88
129.5,24.17,10.2,559.0,-1.9,8.88,10.31
129.5,37.67,2.5,533.0,1.2,10.31,10.99
139.7,46.46,2.5,559.0,-2.1,10.99,10.56
142.2,49.25,7.6,610.0,-3.2,10.56,10.62
175.3,11.12,22.9,762.0,-0.8,10.62,10.74
180.3,52.58,10.2,737.0,0.6,10.74,11.19
208.3,22.83,17.8,889.0,-3.0,11.19,12.79
210.8,33.62,2.5,889.0,-6.3,12.79,14.24
233.7,22.96,20.3,965.0,-5.2,14.24,14.21
307.3,36.92,53.3,1372.0,-3.0,14.21,13.88
342.9,26.92,17.8,1549.0,-4.2,13.88,17.01
363.2,41.12,25.4,1676.0,-6.2,17.01,17.68
378.5,42.17,5.1,1727.0,-8.2,17.68,16.17
391.2,69.17,22.9,1676.0,-7.7,16.17,13.86
396.2,45.71,12.7,1676.0,-3.4,13.86,13.99
398.8,73.29,2.5,1651.0,-6.0,13.99,13.45
403.9,50.92,2.5,1626.0,-3.5,13.45,12.76
403.9,57.54,4.2,1587.5,-1.2,12.76,12.49
403.9,64.17,5.9,1549.0,1.1,12.49,12.22
408.9,42.79,7.6,1549.0,-0.5,12.22,13.63
419.1,60.54,10.2,1626.0,-0.7,13.63,16.57
426.7,62.67,5.1,1448.0,2.4,16.57,21.04
429.3,58.88,5.1,1422.0,1.6,21.04,35.76
434.3,46.83,2.5,1397.0,0.5,35.76,45.58
439.4,41.88,10.2,1397.0,0.2,45.58,41.96
452.1,82.71,10.2,1473.0,-0.8,41.96,48.31
477.5,43.38,25.4,1651.0,0.4,48.31,46.39
490.2,43.54,10.2,1676.0,0.0,46.39,54.3
492.8,87.62,0.0,1651.0,-0.7,54.3,56.68
497.8,56.54,17.8,1524.0,5.1,56.68,52.54
525.8,30.12,17.8,1575.0,3.1,52.54,49.19
525.8,81.21,0.0,1575.0,-7.2,49.19,65.39
523.2,89.42,0.0,1575.0,-7.9,65.39,63.24
530.9,45.21,5.1,1600.0,-6.2,63.24,49.61
602.0,44.62,53.3,1905.0,-0.9,49.61,45.47
744.2,51.62,119.4,2032.0,1.2,45.47,129.12
762.0,36.58,40.6,2108.0,1.3,129.12,671.52
772.2,54.04,27.9,2210.0,-3.0,671.52,522.16
767.1,76.08,0.0,2159.0,-3.7,522.16,197.72
762.0,137.79,0.0,2108.0,-3.3,197.72,122.48
751.8,114.62,0.0,2083.0,-0.7,122.48,92.67
749.3,137.33,0.0,2057.0,-1.6,92.67,79.19
746.8,135.54,5.1,2057.0,0.9,79.19,69.56
744.2,56.42,2.5,2032.0,-3.8,69.56,63.13
764.5,52.5,17.8,2261.0,-2.3,63.13,58.18
777.2,56.12,12.7,2337.0,-3.2,58.18,60.16
782.3,112.33,10.2,2311.0,-5.3,60.16,58.1
777.2,136.96,0.0,2261.0,-5.8,58.1,53.25
774.7,162.79,2.5,2235.0,-4.2,53.25,48.79
772.2,160.79,0.0,2210.0,-2.9,48.79,44.91
769.6,162.5,0.0,2184.0,1.4,44.91,41.77
767.1,163.5,0.0,2184.0,2.3,41.77,39.34
