WESD,GHI,PRCP,SNWD,TAVG,DISCHRG_LAG,DISCHRG
165.1,72.62,2.5,406.0,-2.0,2.35,2.35
170.2,56.29,2.5,406.0,-3.1,2.35,2.23
170.2,56.54,2.5,457.0,-2.5,2.23,2.13
167.6,55.62,0.0,483.0,-3.5,2.13,2.0
172.7,49.79,5.1,483.0,-1.2,2.0,1.92
180.3,36.75,0.0,483.0,1.0,1.92,1.86
177.8,59.88,2.5,432.0,2.8,1.86,1.81
175.3,44.29,0.0,432.0,0.9,1.81,1.77
193.0,9.88,58.4,457.0,1.4,1.77,1.78
198.1,13.26,25.4,533.0,1.7,1.78,2.24
210.8,16.58,20.3,533.0,0.0,2.24,2.39
208.3,43.62,10.2,533.0,3.3,2.39,2.55
243.8,13.58,35.6,762.0,-1.2,2.55,2.68
294.6,12.42,40.6,1118.0,-1.4,2.68,2.7
381.0,13.42,96.5,1270.0,0.5,2.7,2.82
414.0,17.0,66.0,1168.0,1.6,2.82,3.74
421.6,18.21,12.7,1219.0,-2.2,3.74,4.41
424.2,23.58,10.2,1219.0,-4.1,4.41,4.35
490.2,31.25,27.9,1549.0,-1.7,4.35,3.95
548.6,23.88,58.4,1829.0,-1.5,3.95,4.76
602.0,29.12,40.6,2083.0,-3.1,4.76,5.2
617.2,57.5,15.2,2210.0,-4.4,5.2,4.66
629.9,41.12,12.7,2337.0,-6.5,4.66,4.13
657.9,30.62,27.9,2464.0,-5.0,4.13,3.65
675.6,75.21,17.8,2515.0,-3.4,3.65,3.53
696.0,40.92,20.3,2616.0,-3.6,3.53,3.31
729.0,33.46,33.0,2642.0,0.4,3.31,3.1
711.2,73.25,0.0,2438.0,3.9,3.1,3.06
716.3,43.29,0.0,2362.0,3.8,3.06,3.4
789.9,36.21,33.0,2591.0,0.5,3.4,4.54
830.6,39.54,40.6,2616.0,1.1,4.54,5.36
861.1,37.75,76.2,2286.0,3.8,5.36,8.61
868.7,46.75,50.8,2286.0,2.1,8.61,14.7
871.2,73.5,15.2,2261.0,2.5,14.7,12.78
909.3,32.38,55.9,2311.0,1.5,12.78,11.05
970.3,41.58,58.4,2438.0,0.5,11.05,10.84
988.1,55.92,58.4,2515.0,1.4,10.84,11.29
1010.9,41.54,43.2,2540.0,0.8,11.29,14.08
1036.3,69.88,25.4,2515.0,1.5,14.08,12.23
1021.1,27.08,27.9,2388.0,5.2,12.23,9.17
1013.5,40.83,30.5,2362.0,0.9,9.17,11.39
